%X Y s_xx s_yy s_zz s_xy s_xz s_yz e_xx e_yy e_zz e_xy e_xz e_yz
 +0.110366E+01 -0.100000E+03 -0.443360E+03 -0.303403E+02 -0.156321E+03 +0.372903E+02 +0.000000E+00 +0.000000E+00 -0.545373E-02 +0.239363E-02 +0.000000E+00 +0.141703E-02 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100010E+03 -0.434327E+03 -0.361248E+02 -0.155249E+03 +0.410345E+02 +0.000000E+00 +0.000000E+00 -0.530248E-02 +0.226336E-02 +0.000000E+00 +0.155931E-02 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100020E+03 -0.425298E+03 -0.418954E+02 -0.154174E+03 +0.447975E+02 +0.000000E+00 +0.000000E+00 -0.515136E-02 +0.213329E-02 +0.000000E+00 +0.170231E-02 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100030E+03 -0.416979E+03 -0.451282E+02 -0.152495E+03 +0.520076E+02 +0.000000E+00 +0.000000E+00 -0.502519E-02 +0.203998E-02 +0.000000E+00 +0.197629E-02 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100040E+03 -0.408684E+03 -0.483561E+02 -0.150823E+03 +0.591898E+02 +0.000000E+00 +0.000000E+00 -0.489936E-02 +0.194688E-02 +0.000000E+00 +0.224921E-02 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100050E+03 -0.402561E+03 -0.511411E+02 -0.149722E+03 +0.638369E+02 +0.000000E+00 +0.000000E+00 -0.480395E-02 +0.187303E-02 +0.000000E+00 +0.242580E-02 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100060E+03 -0.396451E+03 -0.539209E+02 -0.148623E+03 +0.684635E+02 +0.000000E+00 +0.000000E+00 -0.470874E-02 +0.179934E-02 +0.000000E+00 +0.260161E-02 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100070E+03 -0.391163E+03 -0.563908E+02 -0.147693E+03 +0.718557E+02 +0.000000E+00 +0.000000E+00 -0.462594E-02 +0.173474E-02 +0.000000E+00 +0.273051E-02 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100080E+03 -0.385887E+03 -0.588553E+02 -0.146765E+03 +0.752311E+02 +0.000000E+00 +0.000000E+00 -0.454332E-02 +0.167028E-02 +0.000000E+00 +0.285878E-02 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100090E+03 -0.381137E+03 -0.610697E+02 -0.145928E+03 +0.778543E+02 +0.000000E+00 +0.000000E+00 -0.446897E-02 +0.161231E-02 +0.000000E+00 +0.295846E-02 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100100E+03 -0.376398E+03 -0.632784E+02 -0.145093E+03 +0.804629E+02 +0.000000E+00 +0.000000E+00 -0.439479E-02 +0.155448E-02 +0.000000E+00 +0.305759E-02 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100110E+03 -0.372026E+03 -0.652814E+02 -0.144311E+03 +0.825491E+02 +0.000000E+00 +0.000000E+00 -0.432658E-02 +0.150157E-02 +0.000000E+00 +0.313687E-02 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100120E+03 -0.367664E+03 -0.672786E+02 -0.143531E+03 +0.846223E+02 +0.000000E+00 +0.000000E+00 -0.425852E-02 +0.144880E-02 +0.000000E+00 +0.321565E-02 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100130E+03 -0.363586E+03 -0.691023E+02 -0.142787E+03 +0.863108E+02 +0.000000E+00 +0.000000E+00 -0.419518E-02 +0.140001E-02 +0.000000E+00 +0.327981E-02 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100140E+03 -0.359518E+03 -0.709201E+02 -0.142045E+03 +0.879875E+02 +0.000000E+00 +0.000000E+00 -0.413200E-02 +0.135137E-02 +0.000000E+00 +0.334353E-02 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100150E+03 -0.355682E+03 -0.725889E+02 -0.141329E+03 +0.893663E+02 +0.000000E+00 +0.000000E+00 -0.407269E-02 +0.130607E-02 +0.000000E+00 +0.339592E-02 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100160E+03 -0.351854E+03 -0.742518E+02 -0.140615E+03 +0.907342E+02 +0.000000E+00 +0.000000E+00 -0.401354E-02 +0.126090E-02 +0.000000E+00 +0.344790E-02 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100170E+03 -0.348222E+03 -0.757849E+02 -0.139922E+03 +0.918644E+02 +0.000000E+00 +0.000000E+00 -0.395770E-02 +0.121861E-02 +0.000000E+00 +0.349085E-02 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100180E+03 -0.344600E+03 -0.773122E+02 -0.139231E+03 +0.929845E+02 +0.000000E+00 +0.000000E+00 -0.390201E-02 +0.117646E-02 +0.000000E+00 +0.353341E-02 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100190E+03 -0.341147E+03 -0.787250E+02 -0.138558E+03 +0.939103E+02 +0.000000E+00 +0.000000E+00 -0.384920E-02 +0.113682E-02 +0.000000E+00 +0.356859E-02 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100200E+03 -0.337703E+03 -0.801319E+02 -0.137886E+03 +0.948268E+02 +0.000000E+00 +0.000000E+00 -0.379654E-02 +0.109732E-02 +0.000000E+00 +0.360342E-02 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100210E+03 -0.334410E+03 -0.814370E+02 -0.137230E+03 +0.955815E+02 +0.000000E+00 +0.000000E+00 -0.374643E-02 +0.106006E-02 +0.000000E+00 +0.363210E-02 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100220E+03 -0.331126E+03 -0.827363E+02 -0.136575E+03 +0.963276E+02 +0.000000E+00 +0.000000E+00 -0.369648E-02 +0.102293E-02 +0.000000E+00 +0.366045E-02 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100230E+03 -0.327977E+03 -0.839442E+02 -0.135934E+03 +0.969372E+02 +0.000000E+00 +0.000000E+00 -0.364882E-02 +0.987807E-03 +0.000000E+00 +0.368361E-02 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100240E+03 -0.324837E+03 -0.851463E+02 -0.135294E+03 +0.975387E+02 +0.000000E+00 +0.000000E+00 -0.360131E-02 +0.952815E-03 +0.000000E+00 +0.370647E-02 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100250E+03 -0.321820E+03 -0.862658E+02 -0.134668E+03 +0.980239E+02 +0.000000E+00 +0.000000E+00 -0.355588E-02 +0.919646E-03 +0.000000E+00 +0.372491E-02 +0.000000E+00 +0.000000E+00
 +0.110366E+01 -0.100260E+03 -0.318811E+03 -0.873796E+02 -0.134043E+03 +0.985015E+02 +0.000000E+00 +0.000000E+00 -0.351060E-02 +0.886604E-03 +0.000000E+00 +0.374306E-02 +0.000000E+00 +0.000000E+00
