%X Y s_xx s_yy s_zz s_xy s_xz s_yz e_xx e_yy e_zz e_xy e_xz e_yz
 +0.148320E+01 -0.100000E+03 +0.429463E+03 -0.101465E+02 +0.138374E+03 -0.693802E+01 +0.000000E+00 +0.000000E+00 +0.553068E-02 -0.282190E-02 +0.000000E+00 -0.263645E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100010E+03 +0.412687E+03 -0.432898E+01 +0.134758E+03 -0.107038E+02 +0.000000E+00 +0.000000E+00 +0.528065E-02 -0.264266E-02 +0.000000E+00 -0.406743E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100020E+03 +0.395881E+03 +0.140628E+01 +0.131105E+03 -0.144530E+02 +0.000000E+00 +0.000000E+00 +0.503075E-02 -0.246427E-02 +0.000000E+00 -0.549214E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100030E+03 +0.376924E+03 +0.116466E+01 +0.124769E+03 -0.170030E+02 +0.000000E+00 +0.000000E+00 +0.479094E-02 -0.234849E-02 +0.000000E+00 -0.646114E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100040E+03 +0.358096E+03 +0.911149E+00 +0.118472E+03 -0.194954E+02 +0.000000E+00 +0.000000E+00 +0.455284E-02 -0.223366E-02 +0.000000E+00 -0.740826E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100050E+03 +0.343906E+03 +0.231332E+00 +0.113565E+03 -0.199249E+02 +0.000000E+00 +0.000000E+00 +0.437647E-02 -0.215334E-02 +0.000000E+00 -0.757145E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100060E+03 +0.329827E+03 -0.451226E+00 +0.108694E+03 -0.203292E+02 +0.000000E+00 +0.000000E+00 +0.420152E-02 -0.207376E-02 +0.000000E+00 -0.772509E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100070E+03 +0.318355E+03 -0.119833E+01 +0.104662E+03 -0.201414E+02 +0.000000E+00 +0.000000E+00 +0.406018E-02 -0.201134E-02 +0.000000E+00 -0.765372E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100080E+03 +0.306982E+03 -0.194646E+01 +0.100662E+03 -0.199351E+02 +0.000000E+00 +0.000000E+00 +0.392009E-02 -0.194956E-02 +0.000000E+00 -0.757534E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100090E+03 +0.297325E+03 -0.271238E+01 +0.972221E+02 -0.194070E+02 +0.000000E+00 +0.000000E+00 +0.380195E-02 -0.189876E-02 +0.000000E+00 -0.737467E-03 +0.000000E+00 +0.000000E+00
 +0.148320E+01 -0.100100E+03 +0.287758E+03 -0.347861E+01 +0.938122E+02 -0.188653E+02 +0.000000E+00 +0.000000E+00 +0.368497E-02 -0.184853E-02 +0.000000E+00 -0.716882E-03 +0.000000E+00 +0.000000E+00
