exp_id       	param	N_t_min     	N_i_min     	N_p_min     	% N_i	% N_p	a_inic (mm)
5429_971_110	SWT	1.883055e+05	7.839404e+03	1.804660e+05	4.2%	95.8%	0.03	
5429_1257_110	FS	1.250381e+05	1.119259e+04	1.138455e+05	9.0%	91.0%	0.07	
5429_1257_110	SWT	1.314516e+05	1.415386e+03	1.300363e+05	1.1%	98.9%	0.03	
4217_1543_110	FS	7.917231e+04	9.361808e+03	6.981050e+04	11.8%	88.2%	0.08	
4217_1543_110	SWT	8.493236e+04	5.016533e+03	7.991582e+04	5.9%	94.1%	0.04	
5429_1543_110	FS	9.152822e+04	9.627530e+03	8.190069e+04	10.5%	89.5%	0.09	
5429_1543_110	SWT	9.703286e+04	3.885111e+03	9.314775e+04	4.0%	96.0%	0.04	
3006_971_150	FS	5.014230e+04	8.145985e+03	4.199632e+04	16.2%	83.8%	0.07	
3006_971_150	SWT	5.497383e+04	4.926401e+03	5.004743e+04	9.0%	91.0%	0.04	
4217_971_150	FS	5.218763e+04	6.126369e+03	4.606126e+04	11.7%	88.3%	0.07	
4217_971_150	SWT	5.631356e+04	2.881839e+03	5.343172e+04	5.1%	94.9%	0.04	
5429_971_150	FS	5.514739e+04	4.773719e+03	5.037367e+04	8.7%	91.3%	0.07	
5429_971_150	SWT	5.872095e+04	1.470764e+03	5.725019e+04	2.5%	97.5%	0.04	
3006_1543_150	FS	2.945076e+04	5.225207e+03	2.422555e+04	17.7%	82.3%	0.1	
3006_1543_150	SWT	3.235378e+04	2.123480e+03	3.023030e+04	6.6%	93.4%	0.05	
4217_1543_150	FS	3.131099e+04	4.258651e+03	2.705234e+04	13.6%	86.4%	0.1	
4217_1543_150	SWT	3.397034e+04	1.279415e+03	3.269093e+04	3.8%	96.2%	0.05	
5429_1543_150	FS	3.353748e+04	3.559238e+03	2.997824e+04	10.6%	89.4%	0.1	
5429_1543_150	SWT	3.599089e+04	6.455657e+02	3.534532e+04	1.8%	98.2%	0.05	
3006_2113_150	FS	1.912252e+04	3.928000e+03	1.519452e+04	20.5%	79.5%	0.14	
3006_2113_150	SWT	2.104048e+04	1.971723e+03	1.906876e+04	9.4%	90.6%	0.07	
4217_2113_150	FS	2.055822e+04	3.382303e+03	1.717592e+04	16.5%	83.5%	0.14	
4217_2113_150	SWT	2.231583e+04	1.410396e+03	2.090543e+04	6.3%	93.7%	0.07	
5429_2113_150	FS	2.222399e+04	3.331887e+03	1.889210e+04	15.0%	85.0%	0.15	
5429_2113_150	SWT	2.389702e+04	1.035568e+03	2.286145e+04	4.3%	95.7%	0.07	
3006_971_175	FS	2.995771e+04	3.450365e+03	2.650734e+04	11.5%	88.5%	0.07	
3006_971_175	SWT	3.271144e+04	2.596013e+02	3.245184e+04	0.8%	99.2%	0.04	
4217_971_175	SWT	3.301017e+04	1.847628e+03	3.116254e+04	5.6%	94.4%	0.05	
4217_971_175	FS	3.041000e+04	4.371844e+03	2.603816e+04	14.4%	85.6%	0.09	
5429_971_175	SWT	3.361765e+04	1.025657e+03	3.259199e+04	3.1%	96.9%	0.05	
5429_971_175	FS	3.124434e+04	3.430438e+03	2.781390e+04	11.0%	89.0%	0.09	
3006_1543_175	SWT	2.060885e+04	-1.233078e+01	2.062118e+04	-0.1%	100.1%	0.05	
3006_1543_175	FS	1.874993e+04	2.713866e+03	1.603607e+04	14.5%	85.5%	0.1	
4217_1543_175	SWT	2.104039e+04	1.666668e+03	1.937372e+04	7.9%	92.1%	0.07	
4217_1543_175	FS	1.938747e+04	2.058699e+03	1.732877e+04	10.6%	89.4%	0.1	
5429_1543_175	SWT	2.172117e+04	1.140646e+03	2.058053e+04	5.3%	94.7%	0.07	
5429_1543_175	FS	2.024827e+04	1.608989e+03	1.863928e+04	7.9%	92.1%	0.1	
3006_2113_175	SWT	1.379350e+04	3.978408e+02	1.339565e+04	2.9%	97.1%	0.07	
3006_2113_175	FS	1.270426e+04	2.330107e+03	1.037415e+04	18.3%	81.7%	0.14	
4217_2113_175	FS	1.329877e+04	2.172520e+03	1.112625e+04	16.3%	83.7%	0.15	
5429_2113_175	SWT	1.514668e+04	5.493204e+02	1.459736e+04	3.6%	96.4%	0.08	
5429_2113_175	FS	1.401300e+04	2.326318e+03	1.168668e+04	16.6%	83.4%	0.17	
6629_971_70	SWT	1.596967e+08	1.561068e+08	3.589932e+06	97.8%	2.2%	1.25	
6629_971_70	FS	1.500926e+07	1.320701e+07	1.802245e+06	88.0%	12.0%	1.27	
5429_971_110	FS	1.794050e+05	1.945302e+04	1.599520e+05	10.8%	89.2%	0.07	
4217_2113_175	SWT	1.435781e+04	9.484133e+01	1.426297e+04	0.7%	99.3%	0.070
