a_i  	N_t         	N_i         	N_p         
0.010	1.369292e+05	0.000000e+00	1.369292e+05
0.020	9.641262e+04	1.065002e+02	9.630612e+04
0.030	8.541058e+04	0.000000e+00	8.541058e+04
0.040	8.040229e+04	4.864633e+02	7.991582e+04
0.050	7.978604e+04	3.437854e+03	7.634819e+04
0.060	7.969330e+04	5.987806e+03	7.370550e+04
0.070	7.934682e+04	7.756824e+03	7.158999e+04
0.080	7.936740e+04	9.556897e+03	6.981050e+04
0.090	7.938212e+04	1.111719e+04	6.826493e+04
0.100	7.928938e+04	1.239752e+04	6.689185e+04
0.110	7.937578e+04	1.372421e+04	6.565158e+04
0.120	7.963958e+04	1.512326e+04	6.451632e+04
0.130	7.990560e+04	1.643957e+04	6.346603e+04
0.140	8.015523e+04	1.766972e+04	6.248551e+04
0.150	8.047000e+04	1.890687e+04	6.156313e+04
0.160	8.087755e+04	2.018784e+04	6.068971e+04
0.170	8.136355e+04	2.150559e+04	5.985796e+04
0.180	8.192797e+04	2.286599e+04	5.906198e+04
0.190	8.257356e+04	2.427659e+04	5.829697e+04
0.200	8.328003e+04	2.572108e+04	5.755895e+04
0.210	8.401400e+04	2.716938e+04	5.684462e+04
0.220	8.476938e+04	2.861817e+04	5.615121e+04
0.230	8.557325e+04	3.009687e+04	5.547639e+04
0.240	8.645784e+04	3.163968e+04	5.481816e+04
0.250	8.742949e+04	3.325464e+04	5.417485e+04
0.260	8.847689e+04	3.493190e+04	5.354499e+04
0.270	8.958696e+04	3.665964e+04	5.292732e+04
0.280	9.075481e+04	3.843405e+04	5.232076e+04
0.290	9.197554e+04	4.025117e+04	5.172437e+04
0.300	9.324360e+04	4.210628e+04	5.113732e+04
0.310	9.455265e+04	4.399375e+04	5.055890e+04
0.320	9.590364e+04	4.591516e+04	4.998847e+04
0.330	9.730475e+04	4.787925e+04	4.942550e+04
0.340	9.877317e+04	4.990369e+04	4.886949e+04
0.350	1.003282e+05	5.200814e+04	4.832002e+04
0.360	1.019884e+05	5.421173e+04	4.777671e+04
0.370	1.037651e+05	5.652584e+04	4.723925e+04
0.380	1.056611e+05	5.895376e+04	4.670733e+04
0.390	1.076697e+05	6.148900e+04	4.618071e+04
0.400	1.097791e+05	6.411993e+04	4.565915e+04
0.410	1.119736e+05	6.683113e+04	4.514247e+04
0.420	1.142373e+05	6.960683e+04	4.463049e+04
0.430	1.165529e+05	7.242985e+04	4.412306e+04
0.440	1.189063e+05	7.528627e+04	4.362005e+04
0.450	1.212904e+05	7.816905e+04	4.312134e+04
0.460	1.237101e+05	8.108328e+04	4.262683e+04
0.470	1.261810e+05	8.404459e+04	4.213644e+04
0.480	1.287252e+05	8.707514e+04	4.165009e+04
0.490	1.313656e+05	9.019788e+04	4.116771e+04
0.500	1.341227e+05	9.343342e+04	4.068926e+04
0.510	1.370112e+05	9.679652e+04	4.021468e+04
0.520	1.400382e+05	1.002943e+05	3.974394e+04
0.530	1.432028e+05	1.039258e+05	3.927700e+04
0.540	1.464980e+05	1.076841e+05	3.881384e+04
0.550	1.499135e+05	1.115591e+05	3.835443e+04
0.560	1.534382e+05	1.155395e+05	3.789876e+04
0.570	1.570601e+05	1.196133e+05	3.744682e+04
0.580	1.607656e+05	1.237670e+05	3.699859e+04
0.590	1.645414e+05	1.279874e+05	3.655406e+04
0.600	1.683764e+05	1.322632e+05	3.611324e+04
0.610	1.722644e+05	1.365883e+05	3.567611e+04
0.620	1.762051e+05	1.409624e+05	3.524269e+04
0.630	1.802040e+05	1.453910e+05	3.481296e+04
0.640	1.842706e+05	1.498837e+05	3.438693e+04
0.650	1.884174e+05	1.544528e+05	3.396461e+04
0.660	1.926573e+05	1.591113e+05	3.354599e+04
0.670	1.970034e+05	1.638723e+05	3.313108e+04
0.680	2.014663e+05	1.687464e+05	3.271989e+04
0.690	2.060558e+05	1.737434e+05	3.231241e+04
0.700	2.107795e+05	1.788708e+05	3.190866e+04
0.710	2.156448e+05	1.841362e+05	3.150863e+04
0.720	2.206570e+05	1.895447e+05	3.111232e+04
0.730	2.258206e+05	1.951008e+05	3.071975e+04
0.740	2.311364e+05	2.008054e+05	3.033092e+04
0.750	2.366042e+05	2.066584e+05	2.994582e+04
0.760	2.422211e+05	2.126566e+05	2.956445e+04
0.770	2.479847e+05	2.187979e+05	2.918683e+04
0.780	2.538914e+05	2.250784e+05	2.881294e+04
0.790	2.599389e+05	2.314961e+05	2.844279e+04
0.800	2.661229e+05	2.380465e+05	2.807637e+04
0.810	2.724396e+05	2.447259e+05	2.771369e+04
0.820	2.788821e+05	2.515274e+05	2.735473e+04
0.830	2.854450e+05	2.584455e+05	2.699950e+04
0.840	2.921212e+05	2.654732e+05	2.664798e+04
0.850	2.989068e+05	2.726066e+05	2.630018e+04
0.860	3.057972e+05	2.798411e+05	2.595608e+04
0.870	3.127909e+05	2.871752e+05	2.561568e+04
0.880	3.198855e+05	2.946066e+05	2.527896e+04
0.890	3.270811e+05	3.021352e+05	2.494592e+04
0.900	3.343770e+05	3.097604e+05	2.461654e+04
0.910	3.417755e+05	3.174847e+05	2.429081e+04
0.920	3.492787e+05	3.253100e+05	2.396873e+04
0.930	3.568921e+05	3.332418e+05	2.365027e+04
0.940	3.646204e+05	3.412850e+05	2.333542e+04
0.950	3.724722e+05	3.494481e+05	2.302416e+04
0.960	3.804547e+05	3.577383e+05	2.271648e+04
0.970	3.885778e+05	3.661654e+05	2.241236e+04
0.980	3.968485e+05	3.747367e+05	2.211179e+04
0.990	4.052754e+05	3.834607e+05	2.181474e+04
1.000	4.138636e+05	3.923424e+05	2.152119e+04
1.010	4.226193e+05	4.013882e+05	2.123113e+04
1.020	4.315459e+05	4.106014e+05	2.094453e+04
1.030	4.406483e+05	4.199870e+05	2.066137e+04
1.040	4.499284e+05	4.295467e+05	2.038163e+04
1.050	4.593884e+05	4.392831e+05	2.010529e+04
1.060	4.690263e+05	4.491940e+05	1.983231e+04
1.070	4.788393e+05	4.592766e+05	1.956269e+04
1.080	4.888200e+05	4.695236e+05	1.929639e+04
1.090	4.989612e+05	4.799279e+05	1.903339e+04
1.100	5.092526e+05	4.904789e+05	1.877367e+04
1.110	5.196852e+05	5.011680e+05	1.851719e+04
1.120	5.302482e+05	5.119843e+05	1.826393e+04
1.130	5.409329e+05	5.229190e+05	1.801387e+04
1.140	5.517284e+05	5.339614e+05	1.776697e+04
1.150	5.626256e+05	5.451024e+05	1.752322e+04
1.160	5.736143e+05	5.563317e+05	1.728258e+04
1.170	5.846865e+05	5.676415e+05	1.704502e+04
1.180	5.958350e+05	5.790245e+05	1.681052e+04
1.190	6.070559e+05	5.904768e+05	1.657905e+04
1.200	6.183461e+05	6.019956e+05	1.635058e+04
1.210	6.297062e+05	6.135812e+05	1.612508e+04
1.220	6.411372e+05	6.252347e+05	1.590252e+04
1.230	6.526430e+05	6.369601e+05	1.568287e+04
1.240	6.642278e+05	6.487617e+05	1.546611e+04
1.250	6.758987e+05	6.606465e+05	1.525220e+04
1.260	6.876633e+05	6.726221e+05	1.504111e+04
1.270	6.995319e+05	6.846991e+05	1.483283e+04
1.280	7.115156e+05	6.968883e+05	1.462730e+04
1.290	7.236277e+05	7.092032e+05	1.442452e+04
1.300	7.358816e+05	7.216572e+05	1.422443e+04
1.310	7.482919e+05	7.342649e+05	1.402703e+04
1.320	7.608730e+05	7.470408e+05	1.383227e+04
1.330	7.736392e+05	7.599990e+05	1.364014e+04
1.340	7.866030e+05	7.731524e+05	1.345059e+04
1.350	7.997760e+05	7.865124e+05	1.326359e+04
1.360	8.131681e+05	8.000889e+05	1.307913e+04
1.370	8.267880e+05	8.138908e+05	1.289717e+04
1.380	8.406430e+05	8.279253e+05	1.271768e+04
1.390	8.547402e+05	8.421996e+05	1.254063e+04
1.400	8.690852e+05	8.567192e+05	1.236599e+04
1.410	8.836820e+05	8.714883e+05	1.219374e+04
1.420	8.985323e+05	8.865085e+05	1.202384e+04
1.430	9.136357e+05	9.017794e+05	1.185627e+04
1.440	9.289890e+05	9.172980e+05	1.169100e+04
1.450	9.445878e+05	9.330598e+05	1.152800e+04
1.460	9.604260e+05	9.490588e+05	1.136724e+04
1.470	9.764971e+05	9.652884e+05	1.120869e+04
1.480	9.927935e+05	9.817412e+05	1.105233e+04
1.490	1.009306e+06	9.984082e+05	1.089813e+04
1.500	1.026026e+06	1.015280e+06	1.074606e+04
1.510	1.042940e+06	1.032344e+06	1.059610e+04
1.520	1.060038e+06	1.049589e+06	1.044821e+04
1.530	1.077304e+06	1.067002e+06	1.030237e+04
1.540	1.094726e+06	1.084567e+06	1.015856e+04
1.550	1.112289e+06	1.102272e+06	1.001675e+04
1.560	1.129980e+06	1.120103e+06	9.876903e+03
1.570	1.147786e+06	1.138047e+06	9.739006e+03
1.580	1.165696e+06	1.156093e+06	9.603030e+03
1.590	1.183698e+06	1.174229e+06	9.468949e+03
1.600	1.201783e+06	1.192447e+06	9.336738e+03
1.610	1.219943e+06	1.210737e+06	9.206373e+03
1.620	1.238170e+06	1.229092e+06	9.077828e+03
1.630	1.256458e+06	1.247507e+06	8.951079e+03
1.640	1.274802e+06	1.265976e+06	8.826102e+03
