a_i  	N_t         	N_i         	N_p         	N_a         
0.010	4.080424e+04	1.123344e+00	4.080311e+04	1.123344e+00
0.020	2.389546e+04	0.000000e+00	2.389546e+04	0.000000e+00
0.030	1.948776e+04	0.000000e+00	1.948776e+04	0.000000e+00
0.040	1.733327e+04	2.149663e+00	1.733112e+04	2.149663e+00
0.050	1.598178e+04	4.942910e+00	1.597684e+04	4.942910e+00
0.060	1.500932e+04	0.000000e+00	1.500932e+04	0.000000e+00
0.070	1.435781e+04	9.484133e+01	1.426297e+04	9.484133e+01
0.080	1.452167e+04	8.642522e+02	1.365741e+04	7.003941e+02
0.090	1.471815e+04	1.569368e+03	1.314878e+04	1.209031e+03
0.100	1.479953e+04	2.089048e+03	1.271048e+04	1.647325e+03
0.110	1.500096e+04	2.675574e+03	1.232539e+04	2.032422e+03
0.120	1.530487e+04	3.323143e+03	1.198173e+04	2.376080e+03
0.130	1.559615e+04	3.924985e+03	1.167117e+04	2.686642e+03
0.140	1.588050e+04	4.492945e+03	1.138755e+04	2.970259e+03
0.150	1.618034e+04	5.054084e+03	1.112625e+04	3.231557e+03
0.160	1.650580e+04	5.622102e+03	1.088370e+04	3.474113e+03
0.170	1.686437e+04	6.207290e+03	1.065708e+04	3.700726e+03
0.180	1.725587e+04	6.811694e+03	1.044417e+04	3.913635e+03
0.190	1.767278e+04	7.429614e+03	1.024316e+04	4.114645e+03
0.200	1.809892e+04	8.046347e+03	1.005257e+04	4.305238e+03
0.210	1.851363e+04	8.642463e+03	9.871172e+03	4.486637e+03
0.220	1.891864e+04	9.220695e+03	9.697942e+03	4.659867e+03
0.230	1.934180e+04	9.809781e+03	9.532018e+03	4.825791e+03
0.240	1.981402e+04	1.044135e+04	9.372667e+03	4.985142e+03
0.250	2.034329e+04	1.112402e+04	9.219261e+03	5.138548e+03
0.260	2.091648e+04	1.184522e+04	9.071259e+03	5.286550e+03
0.270	2.151258e+04	1.258439e+04	8.928192e+03	5.429617e+03
0.280	2.211712e+04	1.332747e+04	8.789650e+03	5.568159e+03
0.290	2.272305e+04	1.406777e+04	8.655275e+03	5.702534e+03
