a_i  	N_t         	N_i         	N_p         
0.010	2.527035e+05	9.263376e+02	2.517772e+05
0.020	1.957922e+05	0.000000e+00	1.957922e+05
0.030	1.872418e+05	6.775761e+03	1.804660e+05
0.040	1.912491e+05	1.868934e+04	1.725597e+05
0.050	1.954498e+05	2.816005e+04	1.672898e+05
0.060	2.003248e+05	3.705439e+04	1.632704e+05
0.070	2.061231e+05	4.617110e+04	1.599520e+05
0.080	2.130749e+05	5.600254e+04	1.570724e+05
0.090	2.207360e+05	6.624014e+04	1.544959e+05
0.100	2.288482e+05	7.670540e+04	1.521428e+05
0.110	2.381756e+05	8.821257e+04	1.499630e+05
0.120	2.490871e+05	1.011660e+05	1.479211e+05
0.130	2.608176e+05	1.148261e+05	1.459914e+05
0.140	2.731519e+05	1.289978e+05	1.441542e+05
0.150	2.866404e+05	1.442465e+05	1.423939e+05
0.160	3.017947e+05	1.610966e+05	1.406982e+05
0.170	3.184181e+05	1.793612e+05	1.390570e+05
0.180	3.361215e+05	1.986594e+05	1.374620e+05
0.190	3.545396e+05	2.186330e+05	1.359066e+05
0.200	3.737336e+05	2.393484e+05	1.343852e+05
0.210	3.941267e+05	2.612337e+05	1.328929e+05
0.220	4.164952e+05	2.850692e+05	1.314260e+05
0.230	4.413338e+05	3.113527e+05	1.299811e+05
0.240	4.685986e+05	3.400432e+05	1.285554e+05
0.250	4.974559e+05	3.703094e+05	1.271466e+05
0.260	5.269207e+05	4.011681e+05	1.257526e+05
0.270	5.563931e+05	4.320213e+05	1.243718e+05
0.280	5.860835e+05	4.630808e+05	1.230027e+05
0.290	6.169019e+05	4.952577e+05	1.216442e+05
0.300	6.502147e+05	5.299196e+05	1.202951e+05
0.310	6.871154e+05	5.681607e+05	1.189547e+05
0.320	7.281186e+05	6.104965e+05	1.176221e+05
0.330	7.729214e+05	6.566245e+05	1.162969e+05
0.340	8.205114e+05	7.055328e+05	1.149785e+05
0.350	8.693369e+05	7.556703e+05	1.136666e+05
0.360	9.179712e+05	8.056105e+05	1.123607e+05
0.370	9.654598e+05	8.543991e+05	1.110608e+05
0.380	1.011591e+06	9.018245e+05	1.097665e+05
0.390	1.056874e+06	9.483965e+05	1.084778e+05
0.400	1.102558e+06	9.953630e+05	1.071946e+05
0.410	1.150366e+06	1.044449e+06	1.059169e+05
0.420	1.202075e+06	1.097431e+06	1.046446e+05
0.430	1.259048e+06	1.155670e+06	1.033779e+05
0.440	1.322063e+06	1.219947e+06	1.021167e+05
0.450	1.391210e+06	1.290349e+06	1.008613e+05
0.460	1.465947e+06	1.366336e+06	9.961157e+04
0.470	1.545118e+06	1.446750e+06	9.836781e+04
0.480	1.627091e+06	1.529961e+06	9.713012e+04
0.490	1.709967e+06	1.614068e+06	9.589867e+04
0.500	1.791966e+06	1.697292e+06	9.467363e+04
0.510	1.871629e+06	1.778174e+06	9.345518e+04
0.520	1.947978e+06	1.855734e+06	9.224351e+04
0.530	2.020534e+06	1.929496e+06	9.103882e+04
0.540	2.089358e+06	1.999517e+06	8.984130e+04
0.550	2.154993e+06	2.066342e+06	8.865116e+04
0.560	2.218431e+06	2.130962e+06	8.746859e+04
0.570	2.281025e+06	2.194731e+06	8.629381e+04
0.580	2.344400e+06	2.259273e+06	8.512700e+04
0.590	2.410256e+06	2.326287e+06	8.396838e+04
0.600	2.480189e+06	2.397371e+06	8.281813e+04
0.610	2.555554e+06	2.473877e+06	8.167644e+04
0.620	2.637402e+06	2.556859e+06	8.054351e+04
0.630	2.726441e+06	2.647022e+06	7.941951e+04
0.640	2.823030e+06	2.744726e+06	7.830463e+04
0.650	2.927188e+06	2.849989e+06	7.719903e+04
0.660	3.038617e+06	2.962515e+06	7.610289e+04
0.670	3.156733e+06	3.081716e+06	7.501634e+04
0.680	3.280698e+06	3.206759e+06	7.393955e+04
0.690	3.409465e+06	3.336592e+06	7.287266e+04
0.700	3.541817e+06	3.470002e+06	7.181581e+04
0.710	3.676424e+06	3.605655e+06	7.076911e+04
0.720	3.811925e+06	3.742193e+06	6.973269e+04
0.730	3.947025e+06	3.878319e+06	6.870667e+04
0.740	4.080548e+06	4.012857e+06	6.769113e+04
0.750	4.211479e+06	4.144793e+06	6.668618e+04
0.760	4.338989e+06	4.273297e+06	6.569190e+04
0.770	4.462445e+06	4.397736e+06	6.470838e+04
0.780	4.581414e+06	4.517679e+06	6.373567e+04
0.790	4.695655e+06	4.632881e+06	6.277385e+04
0.800	4.805101e+06	4.743278e+06	6.182296e+04
0.810	4.909844e+06	4.848961e+06	6.088305e+04
0.820	5.010118e+06	4.950164e+06	5.995416e+04
0.830	5.106282e+06	5.047246e+06	5.903632e+04
0.840	5.198804e+06	5.140674e+06	5.812956e+04
0.850	5.288248e+06	5.231014e+06	5.723388e+04
0.860	5.375257e+06	5.318908e+06	5.634930e+04
0.870	5.460535e+06	5.405059e+06	5.547582e+04
0.880	5.544830e+06	5.490217e+06	5.461343e+04
0.890	5.628921e+06	5.575159e+06	5.376213e+04
0.900	5.713585e+06	5.660663e+06	5.292189e+04
0.910	5.799575e+06	5.747483e+06	5.209270e+04
0.920	5.887593e+06	5.836319e+06	5.127452e+04
0.930	5.978281e+06	5.927813e+06	5.046731e+04
0.940	6.072202e+06	6.022531e+06	4.967105e+04
0.950	6.169845e+06	6.120959e+06	4.888567e+04
0.960	6.271609e+06	6.223498e+06	4.811114e+04
0.970	6.377817e+06	6.330469e+06	4.734739e+04
0.980	6.488702e+06	6.442108e+06	4.659438e+04
0.990	6.604424e+06	6.558572e+06	4.585202e+04
1.000	6.725063e+06	6.679943e+06	4.512027e+04
1.010	6.850637e+06	6.806238e+06	4.439903e+04
1.020	6.981099e+06	6.937410e+06	4.368825e+04
1.030	7.116356e+06	7.073368e+06	4.298784e+04
1.040	7.256266e+06	7.213968e+06	4.229771e+04
1.050	7.400643e+06	7.359026e+06	4.161780e+04
1.060	7.549260e+06	7.508312e+06	4.094799e+04
1.070	7.701849e+06	7.661561e+06	4.028822e+04
1.080	7.858115e+06	7.818476e+06	3.963838e+04
1.090	8.017737e+06	7.978738e+06	3.899839e+04
1.100	8.180377e+06	8.142009e+06	3.836813e+04
1.110	8.345691e+06	8.307943e+06	3.774752e+04
1.120	8.513321e+06	8.476185e+06	3.713646e+04
1.130	8.682909e+06	8.646374e+06	3.653484e+04
1.140	8.854085e+06	8.818142e+06	3.594256e+04
1.150	9.026478e+06	8.991118e+06	3.535952e+04
1.160	9.199713e+06	9.164927e+06	3.478561e+04
1.170	9.373422e+06	9.339202e+06	3.422072e+04
1.180	9.547243e+06	9.513579e+06	3.366475e+04
1.190	9.720832e+06	9.687715e+06	3.311759e+04
1.200	9.893859e+06	9.861280e+06	3.257913e+04
1.210	1.006602e+07	1.003397e+07	3.204926e+04
1.220	1.023701e+07	1.020549e+07	3.152788e+04
1.230	1.040659e+07	1.037557e+07	3.101486e+04
1.240	1.057449e+07	1.054398e+07	3.051011e+04
1.250	1.074049e+07	1.071048e+07	3.001351e+04
1.260	1.090440e+07	1.087488e+07	2.952496e+04
1.270	1.106604e+07	1.103699e+07	2.904434e+04
1.280	1.122525e+07	1.119668e+07	2.857154e+04
1.290	1.138189e+07	1.135379e+07	2.810645e+04
1.300	1.153587e+07	1.150822e+07	2.764898e+04
1.310	1.168707e+07	1.165987e+07	2.719900e+04
1.320	1.183544e+07	1.180868e+07	2.675641e+04
1.330	1.198091e+07	1.195459e+07	2.632110e+04
1.340	1.212345e+07	1.209756e+07	2.589296e+04
1.350	1.226302e+07	1.223755e+07	2.547190e+04
1.360	1.239962e+07	1.237456e+07	2.505779e+04
1.370	1.253323e+07	1.250858e+07	2.465055e+04
1.380	1.266387e+07	1.263962e+07	2.425006e+04
1.390	1.279156e+07	1.276770e+07	2.385622e+04
1.400	1.291632e+07	1.289285e+07	2.346893e+04
1.410	1.303821e+07	1.301512e+07	2.308809e+04
1.420	1.315726e+07	1.313454e+07	2.271360e+04
1.430	1.327352e+07	1.325117e+07	2.234535e+04
1.440	1.338704e+07	1.336506e+07	2.198325e+04
1.450	1.349790e+07	1.347627e+07	2.162721e+04
1.460	1.360615e+07	1.358487e+07	2.127712e+04
1.470	1.371186e+07	1.369092e+07	2.093289e+04
1.480	1.381510e+07	1.379451e+07	2.059442e+04
1.490	1.391595e+07	1.389569e+07	2.026163e+04
1.500	1.401449e+07	1.399456e+07	1.993441e+04
1.510	1.411079e+07	1.409118e+07	1.961269e+04
1.520	1.420494e+07	1.418564e+07	1.929637e+04
1.530	1.429699e+07	1.427801e+07	1.898535e+04
1.540	1.438704e+07	1.436837e+07	1.867956e+04
1.550	1.447517e+07	1.445679e+07	1.837890e+04
1.560	1.456144e+07	1.454335e+07	1.808330e+04
1.570	1.464593e+07	1.462814e+07	1.779266e+04
1.580	1.472872e+07	1.471121e+07	1.750690e+04
1.590	1.480989e+07	1.479266e+07	1.722595e+04
1.600	1.488949e+07	1.487255e+07	1.694972e+04
1.610	1.496762e+07	1.495094e+07	1.667812e+04
1.620	1.504433e+07	1.502792e+07	1.641110e+04
1.630	1.511970e+07	1.510355e+07	1.614855e+04
1.640	1.519379e+07	1.517790e+07	1.589042e+04
1.650	1.526666e+07	1.525102e+07	1.563662e+04
1.660	1.533837e+07	1.532298e+07	1.538708e+04
1.670	1.540899e+07	1.539384e+07	1.514172e+04
1.680	1.547856e+07	1.546366e+07	1.490049e+04
1.690	1.554715e+07	1.553249e+07	1.466329e+04
1.700	1.561482e+07	1.560039e+07	1.443008e+04
1.710	1.568159e+07	1.566739e+07	1.420077e+04
1.720	1.574754e+07	1.573357e+07	1.397530e+04
1.730	1.581271e+07	1.579895e+07	1.375360e+04
1.740	1.587713e+07	1.586359e+07	1.353562e+04
1.750	1.594086e+07	1.592753e+07	1.332127e+04
1.760	1.600392e+07	1.599081e+07	1.311051e+04
1.770	1.606637e+07	1.605347e+07	1.290327e+04
1.780	1.612824e+07	1.611554e+07	1.269949e+04
1.790	1.618956e+07	1.617706e+07	1.249911e+04
1.800	1.625036e+07	1.623806e+07	1.230206e+04
1.810	1.631068e+07	1.629857e+07	1.210830e+04
1.820	1.637054e+07	1.635862e+07	1.191776e+04
1.830	1.642997e+07	1.641824e+07	1.173039e+04
1.840	1.648899e+07	1.647744e+07	1.154613e+04
1.850	1.654763e+07	1.653627e+07	1.136493e+04
1.860	1.660591e+07	1.659472e+07	1.118674e+04
1.870	1.666385e+07	1.665284e+07	1.101150e+04
1.880	1.672146e+07	1.671062e+07	1.083916e+04
1.890	1.677877e+07	1.676810e+07	1.066967e+04
1.900	1.683578e+07	1.682527e+07	1.050299e+04
1.910	1.689251e+07	1.688217e+07	1.033905e+04
1.920	1.694897e+07	1.693879e+07	1.017783e+04
1.930	1.700518e+07	1.699516e+07	1.001926e+04
1.940	1.706114e+07	1.705128e+07	9.863297e+03
1.950	1.711686e+07	1.710715e+07	9.709905e+03
1.960	1.717235e+07	1.716279e+07	9.559033e+03
1.970	1.722761e+07	1.721820e+07	9.410639e+03
1.980	1.728265e+07	1.727339e+07	9.264678e+03
1.990	1.733748e+07	1.732835e+07	9.121110e+03
2.000	1.739209e+07	1.738311e+07	8.979891e+03
2.010	1.744649e+07	1.743765e+07	8.840982e+03
2.020	1.750068e+07	1.749198e+07	8.704341e+03
2.030	1.755467e+07	1.754610e+07	8.569931e+03
2.040	1.760845e+07	1.760002e+07	8.437711e+03
2.050	1.766203e+07	1.765372e+07	8.307644e+03
2.060	1.771540e+07	1.770722e+07	8.179692e+03
2.070	1.776857e+07	1.776052e+07	8.053819e+03
2.080	1.782153e+07	1.781360e+07	7.929989e+03
2.090	1.787428e+07	1.786647e+07	7.808166e+03
2.100	1.792681e+07	1.791913e+07	7.688316e+03
2.110	1.797914e+07	1.797157e+07	7.570404e+03
2.120	1.803125e+07	1.802379e+07	7.454397e+03
2.130	1.808314e+07	1.807580e+07	7.340262e+03
2.140	1.813480e+07	1.812757e+07	7.227967e+03
2.150	1.818624e+07	1.817913e+07	7.117479e+03
2.160	1.823746e+07	1.823045e+07	7.008769e+03
2.170	1.828844e+07	1.828154e+07	6.901804e+03
2.180	1.833919e+07	1.833239e+07	6.796556e+03
2.190	1.838969e+07	1.838300e+07	6.692994e+03
2.200	1.843995e+07	1.843336e+07	6.591091e+03
2.210	1.848996e+07	1.848347e+07	6.490816e+03
2.220	1.853971e+07	1.853332e+07	6.392143e+03
2.230	1.858920e+07	1.858291e+07	6.295045e+03
2.240	1.863843e+07	1.863223e+07	6.199496e+03
2.250	1.868742e+07	1.868132e+07	6.105468e+03
2.260	1.873616e+07	1.873014e+07	6.012933e+03
2.270	1.878464e+07	1.877872e+07	5.921867e+03
2.280	1.883289e+07	1.882705e+07	5.832242e+03
2.290	1.888082e+07	1.887508e+07	5.744034e+03
2.300	1.892843e+07	1.892278e+07	5.657220e+03
2.310	1.897576e+07	1.897019e+07	5.571778e+03
2.320	1.902285e+07	1.901736e+07	5.487686e+03
2.330	1.906967e+07	1.906427e+07	5.404918e+03
2.340	1.911622e+07	1.911090e+07	5.323450e+03
2.350	1.916247e+07	1.915723e+07	5.243261e+03
2.360	1.920841e+07	1.920325e+07	5.164329e+03
2.370	1.925403e+07	1.924895e+07	5.086634e+03
2.380	1.929936e+07	1.929435e+07	5.010156e+03
2.390	1.934439e+07	1.933946e+07	4.934874e+03
2.400	1.938911e+07	1.938425e+07	4.860767e+03
2.410	1.943351e+07	1.942872e+07	4.787815e+03
2.420	1.947756e+07	1.947284e+07	4.716000e+03
2.430	1.952126e+07	1.951661e+07	4.645302e+03
2.440	1.956460e+07	1.956003e+07	4.575706e+03
2.450	1.960763e+07	1.960312e+07	4.507191e+03
2.460	1.965030e+07	1.964586e+07	4.439742e+03
2.470	1.969262e+07	1.968824e+07	4.373338e+03
2.480	1.973456e+07	1.973025e+07	4.307964e+03
2.490	1.977613e+07	1.977189e+07	4.243602e+03
2.500	1.981731e+07	1.981313e+07	4.180237e+03
2.510	1.985810e+07	1.985399e+07	4.117851e+03
2.520	1.989854e+07	1.989448e+07	4.056431e+03
2.530	1.993863e+07	1.993463e+07	3.995960e+03
2.540	1.997836e+07	1.997442e+07	3.936421e+03
2.550	2.001771e+07	2.001383e+07	3.877799e+03
2.560	2.005669e+07	2.005287e+07	3.820080e+03
2.570	2.009534e+07	2.009158e+07	3.763248e+03
2.580	2.013366e+07	2.012995e+07	3.707289e+03
2.590	2.017161e+07	2.016796e+07	3.652188e+03
2.600	2.020921e+07	2.020561e+07	3.597930e+03
2.610	2.024646e+07	2.024292e+07	3.544501e+03
2.620	2.028338e+07	2.027989e+07	3.491888e+03
2.630	2.031995e+07	2.031651e+07	3.440077e+03
2.640	2.035618e+07	2.035279e+07	3.389055e+03
2.650	2.039212e+07	2.038878e+07	3.338808e+03
2.660	2.042775e+07	2.042446e+07	3.289324e+03
2.670	2.046308e+07	2.045984e+07	3.240588e+03
2.680	2.049810e+07	2.049490e+07	3.192589e+03
2.690	2.053278e+07	2.052964e+07	3.145313e+03
2.700	2.056711e+07	2.056401e+07	3.098750e+03
2.710	2.060106e+07	2.059801e+07	3.052889e+03
2.720	2.063466e+07	2.063165e+07	3.007717e+03
2.730	2.066793e+07	2.066496e+07	2.963226e+03
2.740	2.070088e+07	2.069796e+07	2.919403e+03
2.750	2.073350e+07	2.073062e+07	2.876237e+03
2.760	2.076579e+07	2.076295e+07	2.833718e+03
2.770	2.079774e+07	2.079494e+07	2.791836e+03
2.780	2.082935e+07	2.082660e+07	2.750580e+03
2.790	2.086063e+07	2.085792e+07	2.709940e+03
2.800	2.089157e+07	2.088890e+07	2.669907e+03
2.810	2.092218e+07	2.091955e+07	2.630472e+03
2.820	2.095245e+07	2.094986e+07	2.591624e+03
2.830	2.098239e+07	2.097984e+07	2.553354e+03
2.840	2.101202e+07	2.100951e+07	2.515654e+03
2.850	2.104133e+07	2.103886e+07	2.478513e+03
2.860	2.107034e+07	2.106789e+07	2.441924e+03
2.870	2.109902e+07	2.109662e+07	2.405876e+03
2.880	2.112739e+07	2.112502e+07	2.370363e+03
2.890	2.115545e+07	2.115311e+07	2.335374e+03
2.900	2.118317e+07	2.118087e+07	2.300902e+03
2.910	2.121057e+07	2.120830e+07	2.266939e+03
2.920	2.123769e+07	2.123546e+07	2.233477e+03
2.930	2.126455e+07	2.126234e+07	2.200508e+03
2.940	2.129110e+07	2.128893e+07	2.168023e+03
2.950	2.131733e+07	2.131519e+07	2.136015e+03
2.960	2.134324e+07	2.134113e+07	2.104477e+03
2.970	2.136882e+07	2.136675e+07	2.073402e+03
2.980	2.139408e+07	2.139203e+07	2.042782e+03
2.990	2.141901e+07	2.141700e+07	2.012611e+03
3.000	2.144362e+07	2.144163e+07	1.982882e+03
3.010	2.146789e+07	2.146594e+07	1.953587e+03
3.020	2.149183e+07	2.148991e+07	1.924721e+03
3.030	2.151544e+07	2.151354e+07	1.896278e+03
3.040	2.153872e+07	2.153685e+07	1.868249e+03
3.050	2.156166e+07	2.155982e+07	1.840631e+03
3.060	2.158429e+07	2.158248e+07	1.813415e+03
3.070	2.160662e+07	2.160484e+07	1.786596e+03
3.080	2.162865e+07	2.162689e+07	1.760168e+03
3.090	2.165041e+07	2.164868e+07	1.734125e+03
3.100	2.167191e+07	2.167021e+07	1.708461e+03
3.110	2.169316e+07	2.169147e+07	1.683169e+03
3.120	2.171414e+07	2.171248e+07	1.658243e+03
3.130	2.173486e+07	2.173323e+07	1.633679e+03
3.140	2.175533e+07	2.175372e+07	1.609469e+03
3.150	2.177554e+07	2.177396e+07	1.585610e+03
3.160	2.179550e+07	2.179394e+07	1.562094e+03
3.170	2.181516e+07	2.181362e+07	1.538918e+03
3.180	2.183445e+07	2.183294e+07	1.516076e+03
3.190	2.185338e+07	2.185189e+07	1.493564e+03
3.200	2.187202e+07	2.187055e+07	1.471376e+03
3.210	2.189041e+07	2.188896e+07	1.449509e+03
3.220	2.190854e+07	2.190711e+07	1.427956e+03
3.230	2.192642e+07	2.192501e+07	1.406714e+03
3.240	2.194404e+07	2.194265e+07	1.385778e+03
3.250	2.196141e+07	2.196004e+07	1.365142e+03
3.260	2.197853e+07	2.197718e+07	1.344802e+03
3.270	2.199540e+07	2.199407e+07	1.324754e+03
3.280	2.201202e+07	2.201071e+07	1.304993e+03
3.290	2.202839e+07	2.202710e+07	1.285516e+03
3.300	2.204451e+07	2.204324e+07	1.266317e+03
3.310	2.206037e+07	2.205913e+07	1.247393e+03
3.320	2.207599e+07	2.207476e+07	1.228739e+03
3.330	2.209136e+07	2.209015e+07	1.210352e+03
3.340	2.210648e+07	2.210529e+07	1.192227e+03
3.350	2.212137e+07	2.212019e+07	1.174361e+03
3.360	2.213602e+07	2.213487e+07	1.156749e+03
3.370	2.215046e+07	2.214932e+07	1.139389e+03
3.380	2.216467e+07	2.216355e+07	1.122276e+03
3.390	2.217869e+07	2.217758e+07	1.105406e+03
3.400	2.219249e+07	2.219140e+07	1.088776e+03
3.410	2.220609e+07	2.220502e+07	1.072382e+03
3.420	2.221949e+07	2.221843e+07	1.056221e+03
3.430	2.223269e+07	2.223164e+07	1.040289e+03
3.440	2.224568e+07	2.224465e+07	1.024582e+03
3.450	2.225847e+07	2.225746e+07	1.009098e+03
3.460	2.227106e+07	2.227006e+07	9.938333e+02
3.470	2.228345e+07	2.228247e+07	9.787842e+02
3.480	2.229564e+07	2.229468e+07	9.639478e+02
3.490	2.230764e+07	2.230669e+07	9.493210e+02
3.500	2.231943e+07	2.231850e+07	9.349008e+02
3.510	2.233104e+07	2.233012e+07	9.206839e+02
3.520	2.234246e+07	2.234156e+07	9.066676e+02
3.530	2.235370e+07	2.235281e+07	8.928488e+02
3.540	2.236475e+07	2.236387e+07	8.792247e+02
3.550	2.237561e+07	2.237475e+07	8.657924e+02
3.560	2.238629e+07	2.238544e+07	8.525490e+02
3.570	2.239679e+07	2.239595e+07	8.394920e+02
3.580	2.240710e+07	2.240627e+07	8.266185e+02
3.590	2.241723e+07	2.241642e+07	8.139258e+02
3.600	2.242718e+07	2.242638e+07	8.014115e+02
3.610	2.243696e+07	2.243617e+07	7.890728e+02
3.620	2.244655e+07	2.244577e+07	7.769073e+02
3.630	2.245597e+07	2.245520e+07	7.649124e+02
3.640	2.246521e+07	2.246445e+07	7.530858e+02
3.650	2.247428e+07	2.247354e+07	7.414249e+02
3.660	2.248319e+07	2.248246e+07	7.299274e+02
3.670	2.249195e+07	2.249123e+07	7.185909e+02
3.680	2.250056e+07	2.249985e+07	7.074130e+02
3.690	2.250900e+07	2.250831e+07	6.963915e+02
3.700	2.251728e+07	2.251659e+07	6.855241e+02
3.710	2.252539e+07	2.252472e+07	6.748086e+02
3.720	2.253334e+07	2.253267e+07	6.642429e+02
3.730	2.254112e+07	2.254047e+07	6.538248e+02
3.740	2.254874e+07	2.254810e+07	6.435522e+02
3.750	2.255620e+07	2.255557e+07	6.334230e+02
3.760	2.256350e+07	2.256287e+07	6.234352e+02
3.770	2.257063e+07	2.257002e+07	6.135868e+02
3.780	2.257761e+07	2.257701e+07	6.038758e+02
3.790	2.258443e+07	2.258383e+07	5.943003e+02
3.800	2.259109e+07	2.259050e+07	5.848584e+02
3.810	2.259759e+07	2.259702e+07	5.755480e+02
3.820	2.260394e+07	2.260338e+07	5.663675e+02
3.830	2.261014e+07	2.260958e+07	5.573149e+02
3.840	2.261618e+07	2.261563e+07	5.483884e+02
3.850	2.262207e+07	2.262153e+07	5.395863e+02
3.860	2.262781e+07	2.262728e+07	5.309068e+02
3.870	2.263340e+07	2.263288e+07	5.223482e+02
3.880	2.263885e+07	2.263833e+07	5.139087e+02
3.890	2.264414e+07	2.264364e+07	5.055867e+02
3.900	2.264930e+07	2.264880e+07	4.973805e+02
3.910	2.265431e+07	2.265382e+07	4.892885e+02
3.920	2.265917e+07	2.265869e+07	4.813091e+02
3.930	2.266389e+07	2.266342e+07	4.734407e+02
3.940	2.266847e+07	2.266800e+07	4.656818e+02
